aether_vial;noble_hierarch;noble_hierarch;champion_of_the_parish;phantasmal_image;phantasmal_image;thalia_guardian_of_thraben;0
seachrome_coast;horizon_canopy;noble_hierarch;noble_hierarch;kitesail_freebooter;phantasmal_image;militia_bugler;1
seachrome_coast;ancient_ziggurat;phantasmal_image;mantis_rider;mantis_rider;militia_bugler;militia_bugler;0
ancient_ziggurat;ancient_ziggurat;cavern_of_souls;kitesail_freebooter;meddling_mage;reflector_mage;reflector_mage;0
seachrome_coast;ancient_ziggurat;champion_of_the_parish;meddling_mage;meddling_mage;mantis_rider;militia_bugler;1
island;plains;ancient_ziggurat;kitesail_freebooter;meddling_mage;meddling_mage;phantasmal_image;0
ancient_ziggurat;noble_hierarch;champion_of_the_parish;champion_of_the_parish;phantasmal_image;thalia_guardian_of_thraben;reflector_mage;0
unclaimed_territory;aether_vial;noble_hierarch;champion_of_the_parish;kitesail_freebooter;mantis_rider;reflector_mage;1
seachrome_coast;horizon_canopy;noble_hierarch;champion_of_the_parish;thalia_guardian_of_thraben;militia_bugler;reflector_mage;1
noble_hierarch;champion_of_the_parish;meddling_mage;thalia_guardian_of_thraben;thalia_lieutenant;militia_bugler;militia_bugler;0
unclaimed_territory;ancient_ziggurat;horizon_canopy;aether_vial;noble_hierarch;phantasmal_image;militia_bugler;1
ancient_ziggurat;ancient_ziggurat;horizon_canopy;noble_hierarch;noble_hierarch;thalia_lieutenant;mantis_rider;1
unclaimed_territory;unclaimed_territory;ancient_ziggurat;noble_hierarch;phantasmal_image;thalia_lieutenant;mantis_rider;1
ancient_ziggurat;ancient_ziggurat;cavern_of_souls;horizon_canopy;thalia_lieutenant;mantis_rider;militia_bugler;0
aether_vial;noble_hierarch;meddling_mage;meddling_mage;phantasmal_image;phantasmal_image;militia_bugler;0
island;unclaimed_territory;unclaimed_territory;unclaimed_territory;cavern_of_souls;champion_of_the_parish;phantasmal_image;0
plains;unclaimed_territory;horizon_canopy;thalia_guardian_of_thraben;mantis_rider;militia_bugler;reflector_mage;0
plains;unclaimed_territory;ancient_ziggurat;aether_vial;noble_hierarch;thalia_guardian_of_thraben;militia_bugler;1
unclaimed_territory;cavern_of_souls;noble_hierarch;kitesail_freebooter;thalia_guardian_of_thraben;mantis_rider;reflector_mage;1
island;horizon_canopy;aether_vial;aether_vial;noble_hierarch;champion_of_the_parish;thalia_lieutenant;1
